PG.ProteinAccessions,PG.Genes,[1] HF_RCF20200718_52ITDR_0nM_1.raw.PG.Quantity,[2] HF_RCF20200718_52ITDR_0nM_2.raw.PG.Quantity,[3] HF_RCF20200718_52ITDR_0nM_3.raw.PG.Quantity,[4] HF_RCF20200718_52ITDR_0nM_4.raw.PG.Quantity,[5] HF_RCF20200718_52ITDR_0nM_5.raw.PG.Quantity,[6] HF_RCF20200718_52ITDR_2nM_1.raw.PG.Quantity,[7] HF_RCF20200718_52ITDR_2nM_2.raw.PG.Quantity,[8] HF_RCF20200718_52ITDR_2nM_3.raw.PG.Quantity,[9] HF_RCF20200718_52ITDR_2nM_4.raw.PG.Quantity,[10] HF_RCF20200718_52ITDR_2nM_5.raw.PG.Quantity,[11] HF_RCF20200718_52ITDR_20uM_1.raw.PG.Quantity,[12] HF_RCF20200718_52ITDR_20uM_2.raw.PG.Quantity,[13] HF_RCF20200718_52ITDR_20uM_3.raw.PG.Quantity,[14] HF_RCF20200718_52ITDR_20uM_4.raw.PG.Quantity,[15] HF_RCF20200718_52ITDR_20uM_5.raw.PG.Quantity,[16] HF_RCF20200718_52ITDR_40nM_1.raw.PG.Quantity,[17] HF_RCF20200718_52ITDR_40nM_2.raw.PG.Quantity,[18] HF_RCF20200718_52ITDR_40nM_3.raw.PG.Quantity,[19] HF_RCF20200718_52ITDR_40nM_4.raw.PG.Quantity,[20] HF_RCF20200718_52ITDR_40nM_5.raw.PG.Quantity,[21] HF_RCF20200718_52ITDR_800nM_1.raw.PG.Quantity,[22] HF_RCF20200718_52ITDR_800nM_2.raw.PG.Quantity,[23] HF_RCF20200718_52ITDR_800nM_3.raw.PG.Quantity,[24] HF_RCF20200718_52ITDR_800nM_4.raw.PG.Quantity,[25] HF_RCF20200718_52ITDR_800nM_5.raw.PG.Quantity
Q8TAC1,RFESD,218972.1094,215654.2031,220472.6875,212896.6094,225245.3906,237577.0938,211930.9688,212000.4219,232244.1094,228244.6094,213299.2969,213606.6875,217635.5,221222.9063,208235.4844,198092.2031,208917.2344,219186.4688,221743.8281,229890.8281,216831.9688,213343.3438,192110.9063,224471.1563,229663.1563
Q8TAE6,PPP1R14C,25003.46094,32603.14844,27848.73438,23472.2168,32631.67969,28847.58398,27948.96484,28984.88477,30619.68164,33426.65625,27515.54688,28288.85938,28568.25391,28672.35938,27339.42383,24471.98242,29201.05469,31018.41211,31547.16406,32540.58398,29989.97266,20142.80859,20923.88086,29077.83789,28127.52539
Q8TAE8,GADD45GIP1,1437.209839,1851.11438,1154.897461,1736.800781,1767.483521,1513.723755,1914.183838,1751.460327,1931.228638,1612.768555,2136.450439,1927.47876,1563.232666,1639.413574,1552.703857,1621.55835,1812.354736,1679.582764,1283.861938,1776.02002,2430.898193,1592.327271,1841.788208,2317.080078,2420.907959
Q8TAF3,WDR48,74685.6875,79371.23438,80930.27344,72161.04688,86002.20313,87370.85938,82493.89844,81316.94531,68157.99219,89648.21094,74558.34375,67779.46875,77866.875,74511.79688,87998.03906,63369.15625,70027.75781,80301.01563,80481.92188,86616.95313,64004.39844,73813.46094,72972.85156,80279.54688,80193.57031
Q8TAG9,EXOC6,19459.74414,22375.45703,19500.59961,25076.87695,20173.67188,18071.52539,23291.5,21468.01758,22041.01172,18376.63672,22575.88281,26249.64453,22397.9668,20859.65039,24138.29883,26780.42188,23257.48047,21358.30859,17689.50781,19895.03125,22558.32227,18563.16992,20361.37305,20124.71875,22914.35547
Q8TAP6,CEP76,31577.76953,36114.97656,34287.25781,32274.11133,36713.73828,39564.41797,36200.01563,39109.07031,28702.83008,33603.86719,32270.42969,39508.9375,37976.66406,31468.31445,38744.53125,34980.62109,35775.79688,35182.73047,33992.22266,38902.20703,34913.35938,39618.55078,31278.21289,30663.75977,32645.89648
Q8TAP8,PPP1R35,121310.0703,136844.75,141238.1719,112683.8984,133809.9844,148219.0469,131795.375,138382.1563,137300.0156,144638.1875,115733.9609,117273.375,133107.9844,139616.4531,118881.0313,126882.1875,137289.8281,146753.5625,133611.2813,137676.5156,147951.9844,93119.36719,109403.5703,141652.1094,121069.4688
Q8TAP9,MPLKIP,32584.54297,28779.86719,32853.26563,29875.25,25914.23242,28466.37695,33100.96875,30776.13086,26285.5,29520.63477,29662.4043,17255.38086,22128.54297,27830.38672,27343.25,20439.27539,30708.29883,26156.07227,26653.69531,30370.18945,29363.62305,32293.16992,31511.66992,30743.17188,31180.22656
Q8TAQ2,SMARCC2,121604.6953,121196.6172,122512.6797,138890.2188,121644.0938,110495.1875,124929.3125,110490.5859,129719.6016,114593.6094,129470.1641,125605.4375,119945.9531,114949.0703,135360.5781,146660.1094,140478.6563,127770.8906,120285.1484,115697.8828,118614.3125,135587.7031,141939.5938,115461.8984,117453.5078
Q8TAT6,NPLOC4,474399.2188,444732.7813,479631.0625,458666.5625,502662.5313,451059.0313,463928.3125,449356.3438,453980.9688,497097.8125,521233.4375,475154.4688,434179.0625,404688.5625,472314.5625,443922.8438,444107.875,403342.2813,378815.9375,488821.0625,405667.2813,382423.4063,385540.4063,361678.2188,472690.3438
Q8TAV0,FAM76A,7062.675781,9561.746094,9038.061523,10751.41113,8507.604492,9791.261719,8869.532227,11023.90723,10037.02539,11355.47363,5060.374512,7730.530273,13658.99805,10643.31738,11716.56348,6608.384277,10793.7207,9880.054688,11811.99414,11658.63965,11413.08203,15919.53613,12608.87109,10315.46484,13596.42383
Q8TB03,CXorf38,138563.375,144850.3906,151541.0156,151395.7344,158411.0469,158786.2344,146785.9375,156335.4531,148674.2031,165214.9688,140594.0781,143900.3281,144059.6406,143544.4375,161676.4531,131486.6406,137541.3281,143946.0156,157408.6563,158334.5938,148343.2031,173882.5313,151814.2188,157098.7656,158033.9844
Q8TB05,UBALD1,8666.574219,9918.035156,Filtered,9104.242188,7138.57959,8004.033691,Filtered,15400.05664,Filtered,Filtered,15775.05371,14813.8916,6850.69873,8204.101563,Filtered,11165.97168,15449.68262,Filtered,10022.22949,13913.87402,9871.442383,4255.288574,2608.328613,1,Filtered
